里程,發生次數
165.8,1
165.9,1
166.0,5
166.1,1
166.2,1
166.5,1
166.7,2
166.8,1
167.0,3
167.1,1
167.2,2
167.4,2
167.5,3
167.8,2
168.0,5
168.1,9
168.2,1
168.4,1
168.5,3
168.8,1
169.0,6
169.3,2
169.4,1
169.5,1
169.8,1
169.9,1
170.0,4
170.6,1
170.8,2
170.9,1
171.0,6
171.2,1
171.3,1
171.4,2
171.5,1
171.7,3
171.8,5
171.9,2
172.0,9
172.2,3
172.3,2
172.4,3
172.5,4
172.7,1
172.9,1
173.0,8
173.1,1
173.3,2
173.5,4
173.6,1
174.2,10
175.0,1
175.1,1
176.0,5
176.5,1
176.6,1
176.8,2
177.0,9
177.1,1
177.2,3
177.3,3
177.4,11
177.5,9
177.6,4
177.7,4
177.8,3
177.9,1
178.0,10
178.6,14
180.0,1
180.2,2
180.5,1
180.9,1
181.0,2
181.2,1
181.4,9
181.6,2
181.7,2
181.8,2
181.9,1
182.0,1
182.3,2
182.5,2
182.8,1
183.2,1
183.3,2
183.7,1
184.0,1
184.4,1
184.7,1
185.0,2
185.1,1
185.2,1
185.3,2
185.5,1
187.0,4
187.4,1
187.5,1
187.6,1
187.7,1
188.0,3
188.2,1
188.4,1
188.7,1
188.8,1
189.0,2
189.2,1
189.3,1
189.4,4
189.8,1
190.0,3
190.7,1
190.8,2
191.0,5
191.7,2
191.8,2
192.0,4
192.2,1
192.5,1
192.8,4
192.9,1
193.0,2
193.5,1
193.8,3
194.6,1
195.0,2
195.6,1
195.9,1
196.0,4
196.2,1
196.4,2
196.7,2
196.8,1
197.0,5
197.2,2
197.3,3
197.5,3
197.7,1
198.0,3
198.2,1
198.3,1
198.4,15
198.5,2
198.7,3
198.8,2
198.9,1
199.0,15
199.2,1
199.3,1
199.5,4
199.6,3
199.7,1
199.8,1
200.0,1
200.3,2
200.4,1
200.5,1
200.7,2
201.0,8
201.2,2
201.4,1
201.5,1
201.6,1
202.0,3
202.1,1
202.3,2
202.7,1
203.0,5
203.1,1
203.2,1
203.6,2
203.7,3
204.0,3
204.2,2
204.3,1
204.6,1
204.9,1
205.0,2
205.2,1
205.3,2
205.4,1
205.5,1
205.7,1
205.8,1
206.0,2
206.3,3
206.5,1
207.0,7
207.1,1
207.2,1
207.3,2
207.4,2
207.5,1
207.7,1
207.8,2
208.0,2
209.0,3
209.1,2
209.5,2
209.8,5
209.9,1
210.0,11
210.2,3
210.5,2
210.6,1
210.7,1
210.8,1
210.9,1
211.0,15
211.2,1
211.4,3
211.5,1
211.6,4
211.7,1
211.8,1
211.9,1
212.0,3
212.1,1
212.2,2
212.4,2
212.5,2
212.6,2
212.7,1
212.8,1
212.9,1
213.7,1
214.0,1
214.7,1
214.8,1
215.0,5
215.3,1
215.4,1
215.8,1
215.9,1
216.0,1
216.2,1
216.5,2
216.6,1
216.8,1
217.0,3
217.2,1
217.3,1
218.0,1
218.3,1
218.5,1
218.9,1
219.3,1
219.4,1
220.1,5
221.0,1
222.0,1
223.0,1
223.1,1
223.5,2
225.0,2
225.7,1
226.0,1
226.3,1
227.0,2
227.2,1
228.0,1
228.8,3
229.0,4
229.2,2
229.5,2
229.6,1
229.8,1
230.0,5
230.1,1
230.2,1
230.5,3
231.0,5
231.2,1
231.4,2
231.5,1
234.0,2
234.9,1
235.5,1
235.6,1
236.0,2
236.3,1
236.5,1
236.6,1
236.8,1
237.5,1
237.8,1
239.0,1
239.1,1
239.9,1
240.0,1
240.6,3
240.8,1
241.7,2
243.1,1
243.5,1
243.8,6
244.0,2
244.7,1
245.0,2
245.5,1
246.0,1
246.7,1
247.0,1
247.3,1
247.7,1
248.5,1
249.3,1
250.0,1
250.8,1
250.9,1
251.4,1
253.0,1
253.7,2
254.0,1
254.5,2
254.7,1
255.3,2
255.5,1
255.6,1
255.7,1
255.9,1
256.0,1
256.8,1
257.1,1
257.2,8
257.7,1
257.9,1
258.1,1
259.0,3
259.7,1
260.0,1
260.3,1
260.8,1
261.9,1
262.0,1
262.1,1
262.3,1
263.5,1
263.9,1
264.3,10
264.9,1
265.0,1
265.2,1
265.3,1
266.0,1
266.1,2
266.2,2
267.0,2
267.4,1
267.5,2
268.5,2
269.3,1
269.8,1
270.2,1
270.6,1
270.7,1
271.0,1
271.3,1
271.4,1
271.6,1
271.8,1
271.9,1
272.8,1
272.9,6
273.4,1
273.6,1
273.8,1
274.5,1
274.6,2
275.0,1
275.1,1
275.3,1
276.2,2
276.4,1
276.6,1
277.3,1
277.5,3
278.6,1
278.8,1
279.0,2
279.8,2
280.0,1
281.0,2
281.7,1
282.5,1
282.6,1
283.5,2
284.2,1
284.7,1
284.8,2
285.0,1
285.1,2
285.5,1
286.0,2
286.6,1
286.8,2
286.9,1
287.2,1
287.3,1
287.8,1
288.0,4
288.1,2
288.4,5
288.5,1
288.6,1
288.7,3
289.0,1
289.3,1
290.0,1
290.3,1
290.6,1
290.8,1
291.0,1
291.3,1
291.5,1
291.6,1
292.0,2
292.1,1
292.4,1
293.0,1
293.5,1
293.9,1
294.1,1
294.2,1
295.0,1
295.1,1
295.3,1
295.7,1
295.9,1
296.0,1
296.4,1
296.6,1
296.9,1
297.0,2
297.7,1
298.0,1
298.1,2
298.3,3
298.4,2
298.5,5
298.6,2
298.7,3
298.8,2
299.0,2
299.1,1
299.2,1
299.5,8
299.57,4
299.6,2
300.6,2
300.9,1
301.1,2
301.3,1
301.4,1
301.5,1
301.6,3
301.7,2
301.8,1
301.9,3
302.0,1
302.2,2
302.3,1
302.4,2
302.5,2
302.7,2
302.8,1
302.9,1
303.0,5
303.2,4
303.3,1
303.4,5
303.5,5
303.6,4
303.7,8
303.8,1
304.0,1
304.1,1
304.3,2
304.5,2
305.0,4
306.9,1
307.2,2
307.4,1
307.6,1
307.7,1
307.8,1
307.9,2
308.4,1
308.5,1
308.7,3
308.8,1
308.9,3
309.0,4
309.1,1
309.2,2
309.3,4
309.7,2
309.8,2
309.9,2
310.0,3
310.1,3
310.2,4
310.3,8
310.4,4
310.5,3
310.6,2
310.7,4
310.8,5
310.9,2
311.0,6
311.1,11
311.4,1
311.5,1
311.6,1
311.7,2
311.8,3
311.9,2
312.0,6
312.1,4
312.2,2
312.3,1
312.4,2
312.5,7
312.6,3
312.7,2
313.2,1
313.5,1
313.6,1
314.0,1
314.1,3
314.2,2
314.3,1
314.4,2
314.5,1
314.8,3
315.0,5
315.1,1
315.3,4
315.4,1
315.5,22
315.6,1
315.7,6
315.9,1
316.0,4
316.2,2
316.3,1
316.4,2
316.5,5
316.7,1
316.8,2
316.9,4
317.0,4
317.1,1
317.2,1
317.3,1
317.5,3
317.6,2
317.7,4
317.8,2
317.9,2
318.0,5
318.1,2
318.2,5
318.3,5
318.4,3
318.5,3
318.7,4
318.8,1
318.9,5
319.0,5
319.1,1
319.2,1
319.4,3
319.5,2
319.6,6
319.8,3
320.0,1
320.2,1
320.4,3
320.5,1
320.6,1
320.7,1
320.8,1
321.2,1
321.4,1
321.6,1
322.1,1
322.3,1
322.6,1
322.7,8
322.8,7
322.9,5
323.0,5
323.8,1
324.0,1
324.3,3
324.4,13
324.5,3
324.8,1
325.5,1
326.0,2
326.2,2
327.4,46
328.1,1
328.2,2
328.4,1
328.6,1
328.7,1
328.8,1
329.5,3
329.6,3
329.7,3
329.8,3
330.0,3
330.2,2
330.3,1
330.5,2
330.6,2
330.7,21
330.8,1
331.1,2
331.2,1
331.3,3
331.4,4
